id,(Intercept),treatment1b
Bacteria;;,1.7722388477096693,-1.301518159848532
Bacteria;Omnitrophota;Koll11,0.41688218844882297,3.0773556985437094
Bacteria;Acidobacteriota;Mor1,-0.4649121076818563,-0.037322278984663004
Bacteria;Proteobacteria;Gammaproteobacteria,2.031888973088151,3.986845771890046
Bacteria;Bacteroidota;Bacteroidia,-2.714816942846989,4.427990955602125
Bacteria;Nitrospirota;Nitrospiria,-0.9230574736189339,3.730859690217592
Bacteria;Methylomirabilota;Methylomirabilia,0.34642946191020396,-0.8486638485767228
Bacteria;Gemmatimonadota;Gemmatimonadetes,-2.7148169428469884,3.9902565869251756
Bacteria;Patescibacteria;ABY1,0.8946379109625413,-1.3968722976290602
Bacteria;Desulfobacterota;GWC2-55-46,-0.5764838833389616,0.07424949667244185
Bacteria;Omnitrophota;Omnitrophia,0.5803335812513541,-1.0825679679178735
Bacteria;Desulfobacterota_E;MBNT15,-0.26217955362777445,-0.2400548330387453
Bacteria;Patescibacteria;Paceibacteria,1.0290499378712337,-1.5312843245377534
Bacteria;Nitrospirota;Thermodesulfovibrionia,2.1419817702741213,-1.4929236104436177
Bacteria;Patescibacteria;Gracilibacteria,1.0312845784623814,-1.5335189651289012
Bacteria;Patescibacteria;,-0.17723003523007552,-0.32500435143644424
Bacteria;Firmicutes;Bacilli,-2.7148169428469884,5.325850890824203
Bacteria;Margulisbacteria;WOR-1,0.455362709016887,-0.9575970956834068
